"","CD_AGSN","DPO_EmAGSN","PopEmDPO_EmAGSN"
"5850","29274080170","571","1994"
"5851","29274080171","539","1892"
"5852","29274080172","272","839"
"5853","29274080173","466","1573"
"5854","29274080177","243","731"
"5855","29274080178","623","1945"
"5856","29274080179","183","581"
"5857","29274080180","179","626"
"5858","29274080181","211","661"
"5859","29274080182","670","2264"
"5860","29274080183","463","1396"
"5861","29274080185","1102","3731"
"5862","29274080186","530","1799"
"5863","29274080187","559","1789"
"5864","29274080189","1169","3298"
"5865","29274080190","416","1353"
"5866","29274080191","723","2295"
"5867","29274080193","100","374"
"5868","29274080194","954","2997"
"5869","29274080195","4235","13324"
"5870","29274080196","306","1078"
"5871","29274080197","224","719"
"5872","29274080198","149","506"
"5873","29274080199","258","894"
"5874","29274080200","103","285"
"5875","29274080201","308","954"
"5876","29274080202","2623","8349"
"5877","29274080203","288","785"
"5878","29274080204","299","908"
"5879","29274080205","942","2986"
"5880","29274080206","6258","20302"
"5881","29274080207","83","269"
"5882","29274080208","154","502"
"5883","29274080209","2044","6816"
"5884","29274080210","1485","4166"
"5885","29274080211","139","381"
"5886","29274080212","561","1656"
"5887","29274080213","5785","18664"
"5888","29274080214","132","516"
"5889","29274080215","636","1900"
"5890","29274080216","284","902"
"5891","29274080217","1043","3322"
"5892","29274080218","3362","10813"
"5893","29274080219","219","622"
"5894","29274080220","3675","11728"
"5895","29274080221","826","2407"
"5896","29274080222","764","2440"
"5897","29274080223","1571","5598"
"5898","29274080224","615","2130"
"5899","29274080225","122","364"
"5900","29274080226","314","1047"
"5901","29274080227","230","749"
"5902","29274080228","1049","3346"
"5903","29274080229","6121","20337"
"5904","29274080230","1140","3698"
"5905","29274080231","267","881"
"5906","29274080232","321","992"
"5907","29274080233","334","1130"
"5908","29274080234","4696","14690"
"5909","29274080235","4299","13031"
"5910","29274080236","4530","14027"
"5911","29274080237","4307","13531"
"5912","29274080238","149","486"
"5913","29274080239","624","2144"
"5914","29274080240","576","1874"
"5915","29274080241","364","1206"
"5916","29274080242","533","1856"
"5917","29274080243","448","1477"
"5918","29274080244","806","2618"
"5919","29274080245","199","614"
"5920","29274080246","900","3116"
"5921","29274080247","505","1579"
"5922","29274080248","454","1492"
"5923","29274080249","1940","6232"
"5924","29274080250","219","720"
"5925","29274080251","334","1120"
"5926","29274080252","479","1550"
"5927","29274080253","2215","7272"
"5928","29274080254","2456","7968"
"5929","29274080255","422","1420"
"5930","29274080256","2368","7457"
"5931","29274080257","327","1101"
"5932","29274080258","1194","3786"
"5933","29274080259","974","3262"
"5934","29274080260","1462","4595"
"5935","29274080261","4431","13973"
"5936","29274080262","507","1630"
"5937","29274080263","147","483"
"5938","29274080264","307","995"
"5939","29274080265","878","2753"
"5940","29274080266","2012","6556"
"5941","29274080267","1340","4066"
"5942","29274080268","2178","7033"
"5943","29274080269","1042","3466"
"5944","29274080270","120","362"
"5945","29274080271","2179","6169"
"5946","29274080272","235","795"
"5947","29274080273","287","909"
"5948","29274080274","193","673"
"5949","29274080275","1700","4991"
"5950","29274080276","1595","5063"
"5951","29274080277","274","848"
"5952","29274080278","75","266"
"5953","29274080279","1967","6197"
"5954","29274080280","1295","4152"
"5955","29274080281","1134","3701"
"5956","29274080282","232","771"
"5957","29274080283","99","328"
"5958","29274080284","501","1667"
"5959","29274080285","780","2494"
